ID,类别,受欢迎指数,总评论数,青少年评论数,青年评论数,中年评论数,老年评论数
1078,Dresses,0.8212890625,1024,2,477,444,101
862,Knits,0.8200992555831266,806,0,336,373,97
1094,Dresses,0.8214285714285714,756,1,389,306,60
1081,Dresses,0.8487972508591065,582,1,277,243,61
872,Knits,0.8770642201834863,545,1,243,226,75
829,Blouses,0.8273244781783681,527,0,221,226,80
1110,Dresses,0.8395833333333333,480,0,224,211,45
868,Knits,0.7558139534883721,430,2,189,167,72
895,Fine gauge,0.844059405940594,404,1,163,186,54
936,Sweaters,0.8212290502793296,358,1,157,139,61
867,Knits,0.811965811965812,351,0,160,147,44
850,Blouses,0.8698224852071006,338,0,142,157,39
1095,Dresses,0.7920489296636085,327,2,175,119,31
863,Knits,0.8496732026143791,306,0,105,135,66
