单词符号  种类
{  分界符
/*This a test program.*/  注释
int  保留字
abc  标识符
;  分界符
int  保留字
123  无符号整数
;  分界符
int  保留字
A  标识符
;  分界符
int  保留字
2  无符号整数
a  标识符
;  分界符
int  保留字
a2  标识符
;  分界符
read  保留字
n  标识符
;  分界符
n  标识符
=  运算符
0  无符号整数
12345  无符号整数
;  分界符
for  保留字
(  分界符
i  标识符
=  运算符
1  无符号整数
;  分界符
i  标识符
<=  运算符
n  标识符
;  分界符
i  标识符
=  运算符
i  标识符
+  运算符
1  无符号整数
)  分界符
{  分界符
abc  标识符
=  运算符
abc  标识符
+  运算符
i  标识符
;  分界符
}  分界符
if  保留字
(  分界符
i  标识符
!=  运算符
n  标识符
)  分界符
n  标识符
=  运算符
n  标识符
+  运算符
i  标识符
;  分界符
if  保留字
(  分界符
)  分界符
b  标识符
=  运算符
b  标识符
+  运算符
c  标识符
;  分界符
write  保留字
abc  标识符
;  分界符
}  分界符
